order_id,order_date,customer_id,product_id,quantity,unit_price,sales,cost,profit,payment_method,returned
1,2024-08-09,1502,P004,1,12379.11,12379.11,8116.88,4262.23,UPI,No
2,2024-07-09,3545,P003,1,19387.66,19387.66,13226.64,6161.02,Net Banking,No
3,2025-04-06,4145,P009,1,1251.01,1251.01,948.58,302.43,Cash,Yes
4,2025-04-02,780,P009,2,1140.47,2280.94,1411.78,869.16,Net Banking,No
5,2025-02-08,516,P005,2,1449.61,2899.22,2107.94,791.28,Debit Card,No
6,2025-03-02,1101,P005,4,1370.25,5481.0,3307.96,2173.04,Net Banking,No
7,2024-07-24,1959,P002,4,25055.13,100220.52,75001.32,25219.2,UPI,No
8,2024-10-11,869,P006,2,542.55,1085.1,815.76,269.34,Credit Card,No
9,2024-11-10,3571,P004,4,12617.39,50469.56,36537.6,13931.96,Debit Card,No
10,2026-06-16,1641,P008,4,6715.26,26861.04,16931.44,9929.6,UPI,No
11,2025-02-17,2821,P007,2,2711.7,5423.4,3902.76,1520.64,Debit Card,Yes
12,2025-03-16,3607,P008,2,6689.38,13378.76,9749.38,3629.38,Cash,No
13,2025-01-15,3677,P011,4,2265.14,9060.56,5959.04,3101.52,Debit Card,No
14,2026-03-19,4953,P009,3,1138.14,3414.42,2416.95,997.47,Credit Card,No
15,2024-11-04,3613,P008,2,7151.29,14302.58,9672.8,4629.78,Net Banking,No
16,2025-03-05,2653,P006,1,547.75,547.75,382.51,165.24,UPI,Yes
17,2024-12-01,249,P008,2,7613.58,15227.16,9518.68,5708.48,Cash,No
18,2024-09-21,3842,P007,2,2368.16,4736.32,2915.84,1820.48,Debit Card,No
19,2024-12-27,986,P005,2,1566.5,3133.0,2033.26,1099.74,Credit Card,No
20,2025-03-22,3016,P002,3,23926.76,71780.28,49503.57,22276.71,Debit Card,No
21,2025-07-02,2705,P011,4,2015.21,8060.84,6404.44,1656.4,Credit Card,No
22,2025-08-06,92,P012,4,4447.24,17788.96,12471.12,5317.84,Credit Card,No
23,2025-12-02,4142,P010,4,8135.66,32542.64,22008.08,10534.56,Debit Card,No
24,2025-07-18,4796,P004,5,12089.27,60446.35,42951.4,17494.95,Net Banking,No
25,2026-04-21,4650,P006,4,576.7,2306.8,1514.76,792.04,Net Banking,No
26,2026-05-28,4063,P012,1,4349.91,4349.91,3231.86,1118.05,Credit Card,No
27,2026-03-20,2118,P004,1,10830.8,10830.8,7583.08,3247.72,Net Banking,No
28,2026-06-02,741,P003,4,19532.49,78129.96,61570.88,16559.08,Debit Card,Yes
29,2025-11-22,4950,P008,4,6985.37,27941.48,20347.24,7594.24,Net Banking,No
30,2026-01-19,4375,P010,1,9886.45,9886.45,6178.0,3708.45,Credit Card,Yes
31,2024-06-21,1229,P008,2,7368.13,14736.26,11662.56,3073.7,Debit Card,No
32,2025-09-30,2626,P005,5,1562.74,7813.7,5680.55,2133.15,UPI,No
33,2025-09-11,4733,P004,4,13023.65,52094.6,38921.6,13173.0,UPI,No
34,2025-07-19,4502,P005,3,1539.29,4617.87,3395.46,1222.41,Credit Card,No
35,2024-08-28,1379,P001,3,56159.79,168479.37,132905.46,35573.91,Credit Card,No
36,2025-06-25,2551,P011,5,2234.47,11172.35,8184.0,2988.35,UPI,No
37,2026-05-07,311,P009,1,1234.66,1234.66,967.2,267.46,Cash,No
38,2024-07-17,1825,P006,1,602.22,602.22,384.07,218.15,Net Banking,No
39,2025-07-14,903,P004,3,12460.41,37381.23,26171.7,11209.53,Net Banking,No
40,2025-08-21,4211,P010,5,8654.36,43271.8,29525.3,13746.5,UPI,No
41,2025-10-18,3533,P010,1,9245.12,9245.12,6983.19,2261.93,Credit Card,No
42,2026-04-20,247,P001,3,57736.03,173208.09,136142.13,37065.96,Debit Card,No
43,2025-06-30,4851,P004,1,13168.86,13168.86,10051.5,3117.36,UPI,No
44,2024-12-03,2291,P003,4,18089.86,72359.44,52887.84,19471.6,Credit Card,No
45,2025-11-11,4355,P005,2,1462.4,2924.8,2166.72,758.08,Credit Card,No
46,2025-01-16,943,P012,5,4903.63,24518.15,16920.75,7597.4,Credit Card,No
47,2025-07-12,532,P004,2,10941.56,21883.12,13929.6,7953.52,Debit Card,No
48,2026-01-29,3137,P011,4,2173.92,8695.68,6805.2,1890.48,Credit Card,No
49,2026-01-24,1435,P006,1,575.18,575.18,388.56,186.62,Debit Card,No
50,2025-02-04,1516,P010,1,9154.16,9154.16,6367.45,2786.71,UPI,No
51,2024-11-30,3762,P003,1,16419.8,16419.8,12320.76,4099.04,Cash,No
52,2025-11-20,4643,P003,1,16548.63,16548.63,11657.96,4890.67,Cash,No
53,2025-05-07,2802,P002,5,27434.48,137172.4,103191.05,33981.35,Net Banking,Yes
54,2024-11-03,4379,P007,3,2552.19,7656.57,5109.3,2547.27,Debit Card,No
55,2025-09-05,4874,P009,3,1276.04,3828.12,3017.31,810.81,Net Banking,No
56,2024-08-09,3464,P010,5,8203.03,41015.15,27529.6,13485.55,UPI,No
57,2026-01-27,4728,P004,1,11896.61,11896.61,8799.47,3097.14,Credit Card,No
58,2025-12-13,2862,P012,1,4591.72,4591.72,3553.08,1038.64,Credit Card,No
59,2025-04-21,4311,P004,3,11884.6,35653.8,26285.31,9368.49,Cash,No
60,2025-02-01,1152,P007,4,2580.11,10320.44,6198.72,4121.72,Debit Card,No
61,2025-07-04,4484,P011,1,2258.86,2258.86,1749.91,508.95,Debit Card,Yes
62,2025-01-22,1479,P011,4,2082.77,8331.08,5806.0,2525.08,UPI,No
63,2024-07-08,1916,P002,3,24639.58,73918.74,58122.06,15796.68,UPI,Yes
64,2025-12-16,1903,P010,4,8628.95,34515.8,22056.12,12459.68,Cash,No
65,2024-09-23,2398,P004,5,12683.67,63418.35,47140.95,16277.4,Net Banking,No
66,2024-08-10,3050,P009,1,1152.32,1152.32,846.51,305.81,Net Banking,No
67,2024-09-16,2558,P003,2,19427.07,38854.14,30734.02,8120.12,Cash,No
68,2025-12-28,2008,P011,2,2087.08,4174.16,2646.78,1527.38,UPI,Yes
69,2025-10-19,2871,P003,1,17765.62,17765.62,13202.57,4563.05,Debit Card,No
70,2025-03-27,1803,P010,4,9479.36,37917.44,24421.68,13495.76,Net Banking,No
71,2026-04-11,978,P007,1,2582.74,2582.74,2026.28,556.46,Net Banking,No
72,2025-05-15,1750,P004,1,12709.3,12709.3,8471.51,4237.79,Cash,No
73,2024-09-29,1531,P012,5,4108.2,20541.0,13734.65,6806.35,Net Banking,No
74,2025-10-07,1774,P006,5,655.95,3279.75,2254.5,1025.25,Debit Card,No
75,2026-02-15,1579,P008,1,6707.37,6707.37,4173.84,2533.53,Cash,No
76,2024-06-28,814,P005,2,1573.39,3146.78,1961.14,1185.64,Debit Card,No
77,2025-10-04,4939,P010,4,9138.45,36553.8,21944.56,14609.24,Cash,No
78,2025-08-04,1305,P005,2,1604.14,3208.28,2553.7,654.58,Debit Card,No
79,2026-03-26,334,P005,2,1505.93,3011.86,2169.52,842.34,Net Banking,No
80,2024-12-02,4100,P003,1,18137.85,18137.85,12553.58,5584.27,Debit Card,No
81,2024-11-08,4173,P007,2,2499.92,4999.84,3455.68,1544.16,Credit Card,No
82,2026-02-07,4338,P007,1,2549.44,2549.44,1687.16,862.28,UPI,Yes
83,2025-03-01,2313,P007,3,2748.42,8245.26,6112.26,2133.0,Credit Card,No
84,2024-11-25,874,P002,4,23957.48,95829.92,76021.8,19808.12,Debit Card,No
85,2025-07-05,84,P010,2,9590.19,19180.38,12316.16,6864.22,Credit Card,No
86,2025-11-08,1381,P006,1,650.78,650.78,491.47,159.31,Net Banking,No
87,2025-02-25,2492,P004,3,13162.53,39487.59,28899.0,10588.59,UPI,No
88,2024-12-09,2320,P008,5,6849.2,34246.0,23440.95,10805.05,Debit Card,No
89,2025-08-30,2898,P003,4,17607.83,70431.32,49694.16,20737.16,Credit Card,No
90,2026-02-15,1767,P006,5,587.25,2936.25,1838.6,1097.65,Cash,No
91,2024-09-01,1967,P006,1,641.98,641.98,476.3,165.68,Credit Card,No
92,2024-07-23,4354,P009,5,1113.01,5565.05,4113.65,1451.4,Credit Card,No
93,2025-06-28,2047,P002,2,23590.68,47181.36,35370.76,11810.6,UPI,No
94,2024-10-29,2782,P006,3,627.11,1881.33,1345.41,535.92,Credit Card,No
95,2025-04-30,2536,P007,4,2725.2,10900.8,7471.64,3429.16,UPI,No
96,2025-04-05,286,P006,1,582.67,582.67,404.82,177.85,UPI,Yes
97,2024-07-21,257,P004,5,12360.23,61801.15,44415.15,17386.0,Net Banking,Yes
98,2024-12-17,3779,P007,2,2267.0,4534.0,2938.8,1595.2,Cash,No
99,2024-10-26,2507,P003,2,18550.07,37100.14,25045.36,12054.78,UPI,No
100,2024-10-09,4539,P012,4,4828.41,19313.64,14100.16,5213.48,Net Banking,No
101,2025-03-07,2310,P010,3,8120.88,24362.64,15185.85,9176.79,Cash,No
102,2026-01-06,4838,P002,2,22615.13,45230.26,32321.38,12908.88,Debit Card,No
103,2025-02-11,371,P001,1,58237.78,58237.78,37052.0,21185.78,Net Banking,No
104,2026-01-04,1858,P009,3,1217.14,3651.42,2263.47,1387.95,Cash,No
105,2026-03-19,3182,P008,2,6867.46,13734.92,10165.88,3569.04,Cash,No
106,2025-02-26,4279,P003,5,17958.83,89794.15,63195.35,26598.8,UPI,No
107,2025-06-14,3523,P009,2,1311.76,2623.52,2045.08,578.44,Cash,No
108,2025-12-05,3027,P005,2,1351.6,2703.2,1863.72,839.48,UPI,No
